"2003.12574","Adara-Monica Blaga","Adara M. Blaga and Cihan \""Ozg\""ur","Almost $\eta$-Ricci and almost $\eta$-Yamabe solitons with torse-forming
  potential vector field","25 pages","Quaestiones Mathematicae, 2022, vol. 5, no. 1, (143-163)",,,"math.DG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We provide properties of almost $\eta$-Ricci and almost $\eta$-Yamabe
solitons on submanifolds isometrically immersed into a Riemannian manifold
$\left(\widetilde{M},\widetilde{g} \right)$ whose potential vector field is the
tangential component of a torse-forming vector field on $\widetilde{M}$,
treating also the case of a minimal or pseudo quasi-umbilical hypersurface.
Moreover, we give necessary and sufficient conditions for an orientable
hypersurface of the unit sphere to be an almost $\eta$-Ricci or an almost
$\eta$-Yamabe soliton in terms of the second fundamental tensor field.
","[{""version"":""v1"",""created"":""Sun, 29 Mar 2020 09:43:47 GMT""},{""version"":""v2"",""created"":""Sun, 8 Nov 2020 14:50:53 GMT""}]","2022-06-14"
"2003.12641","Idan Achituve","Idan Achituve, Haggai Maron and Gal Chechik","Self-Supervised Learning for Domain Adaptation on Point-Clouds",,,,,"cs.CV cs.LG eess.IV","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Self-supervised learning (SSL) is a technique for learning useful
representations from unlabeled data. It has been applied effectively to domain
adaptation (DA) on images and videos. It is still unknown if and how it can be
leveraged for domain adaptation in 3D perception problems. Here we describe the
first study of SSL for DA on point clouds. We introduce a new family of pretext
tasks, Deformation Reconstruction, inspired by the deformations encountered in
sim-to-real transformations. In addition, we propose a novel training procedure
for labeled point cloud data motivated by the MixUp method called Point cloud
Mixup (PCM). Evaluations on domain adaptations datasets for classification and
segmentation, demonstrate a large improvement over existing and baseline
methods.
","[{""version"":""v1"",""created"":""Sun, 29 Mar 2020 14:19:15 GMT""},{""version"":""v2"",""created"":""Mon, 29 Jun 2020 16:40:13 GMT""},{""version"":""v3"",""created"":""Thu, 5 Nov 2020 22:53:54 GMT""},{""version"":""v4"",""created"":""Mon, 8 Mar 2021 14:04:00 GMT""},{""version"":""v5"",""created"":""Fri, 13 May 2022 11:45:58 GMT""}]","2022-05-16"
"2003.12826","Ran Tao","Ran Tao, Lin Li, Hong-Yi Xie, Xiaodong Fan, Linhai Guo, Lijun Zhu,
  Yuedong Yan, Zhenyu Zhang, Changgan Zeng","Josephson-Coulomb drag effect between graphene and LaAlO3/SrTiO3
  interfacial superconductor",,,,,"cond-mat.mes-hall","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Coulomb drag refers to the phenomenon that a charge current in one electronic
circuit induces a responsive current in a neighboring circuit solely through
Coulomb interactions. For conventional interactions between fermionic particles
such as electrons, the as-induced drag current in the passive layer is orders
of magnitude weaker than the active current due to strong dielectric screening
effect between the two. Here we propose a 'super' Coulomb drag effect between
an active normal conductor and a passive superconductor of Josephson junction
arrays, whereby the passive current can greatly exceed the active. The drag
force originates from the interactions between the substantially enhanced
dynamical quantum fluctuations of the superconducting phases in the passive
layer and the normal electrons in the active layer. We demonstrate this effect
in the devices composed of monolayer graphene and LaAlO3/SrTiO3
heterointerface, an inherently non-uniform superconductor described by
Josephson junction arrays. Remarkable drag signal is observed in the
superconducting transition regime of the LaAlO3/SrTiO3 interface, with its sign
independent of the carrier type in the graphene layer. The estimated
passive-to-active ratio can reach about 0.3 at the optimal gate voltage and the
temperature dependence follows that of the typical Josephson energy between
superconducting puddles. Strikingly, the ratio ought to be as large as 10^5 at
zero temperature by theoretical extrapolation. From engineering perspective,
our device may work as current or voltage transformers, and the drag mechanism
lays the foundation for synchronizing Josephson-junction-array-based terahertz
radiators.
","[{""version"":""v1"",""created"":""Sat, 28 Mar 2020 16:03:18 GMT""},{""version"":""v2"",""created"":""Tue, 19 Jan 2021 10:39:54 GMT""},{""version"":""v3"",""created"":""Thu, 10 Feb 2022 13:03:06 GMT""}]","2022-02-11"
"2003.12827","\'Agnes Vib\'ok","Csaba F\'abri, Benjamin Lasorne, G\'abor J. Hal\'asz, Lorenz S.
  Cederbaum and \'Agnes Vib\'ok","Striking light-induced nonadiabatic fingerprint in the low-energy
  vibronic spectra of polyatomic molecules",,,,,"physics.chem-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Nonadiabaticity, i.e., the effect of mixing electronic states by nuclear
motion, is a central phenomenon in molecular science. The strongest
nonadiabatic effects arise due to the presence of conical intersections of
electronic energy surfaces. These intersections are abundant in polyatomic
molecules. Laser light can induce in a controlled manner new conical
intersections, called light-induced conical intersections, which lead to strong
nonadiabatic effects similar to those of the natural conical intersections.
These effects are, however, controllable and may even compete with those of the
natural intersections. In this work we show that the standard low-energy
vibrational spectrum of the electronic ground state can change dramatically by
inducing nonadiabaticity via a light-induced conical intersection. This generic
effect is demonstrated for an explicit example by full-dimensional high-level
quantum calculations using a pump-probe scheme with a moderate-intensity pump
laser and a weak probe laser.
","[{""version"":""v1"",""created"":""Sat, 28 Mar 2020 16:04:02 GMT""},{""version"":""v2"",""created"":""Tue, 31 Mar 2020 10:35:17 GMT""}]","2020-04-01"
"2003.12828","Albert Buchard","Albert Buchard, Baptiste Bouvier, Giulia Prando, Rory Beard, Michail
  Livieratos, Dan Busbridge, Daniel Thompson, Jonathan Richens, Yuanzhao Zhang,
  Adam Baker, Yura Perov, Kostis Gourgoulias, Saurabh Johri","Learning medical triage from clinicians using Deep Q-Learning","17 pages, 4 figures, 3 tables, preprint, in press",,,,"cs.AI","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Medical Triage is of paramount importance to healthcare systems, allowing for
the correct orientation of patients and allocation of the necessary resources
to treat them adequately. While reliable decision-tree methods exist to triage
patients based on their presentation, those trees implicitly require human
inference and are not immediately applicable in a fully automated setting. On
the other hand, learning triage policies directly from experts may correct for
some of the limitations of hard-coded decision-trees. In this work, we present
a Deep Reinforcement Learning approach (a variant of DeepQ-Learning) to triage
patients using curated clinical vignettes. The dataset, consisting of 1374
clinical vignettes, was created by medical doctors to represent real-life
cases. Each vignette is associated with an average of 3.8 expert triage
decisions given by medical doctors relying solely on medical history. We show
that this approach is on a par with human performance, yielding safe triage
decisions in 94% of cases, and matching expert decisions in 85% of cases. The
trained agent learns when to stop asking questions, acquires optimized decision
policies requiring less evidence than supervised approaches, and adapts to the
novelty of a situation by asking for more information. Overall, we demonstrate
that a Deep Reinforcement Learning approach can learn effective medical triage
policies directly from expert decisions, without requiring expert knowledge
engineering. This approach is scalable and can be deployed in healthcare
settings or geographical regions with distinct triage specifications, or where
trained experts are scarce, to improve decision making in the early stage of
care.
","[{""version"":""v1"",""created"":""Sat, 28 Mar 2020 16:07:41 GMT""},{""version"":""v2"",""created"":""Wed, 24 Jun 2020 16:39:37 GMT""}]","2020-06-25"
"2003.12829","Renan Pereira","Renan C\^amara Pereira, Rainer Stiele and Pedro Costa","Functional renormalization group study of the critical region of the
  quark-meson model with vector interactions","16 pages, 6 figures","Eur. Phys. J. C 80, 712 (2020)","10.1140/epjc/s10052-020-8296-9",,"hep-ph nucl-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The critical region of the two flavour quark-meson model with vector
interactions is explored using the Functional Renormalization Group technique,
a non-perturbative method that takes into account quantum and thermal
fluctuations. Special attention is given to the low temperature and high
density region of the phase diagram, which is very important for the evolution
of proto-neutron stars and to construct the equation of state of compact stars.
As in previous studies, without repulsive vector interaction, an unphysical
region of negative entropy density is found near the first order chiral phase
transition. We explore the connection between this unphysical region and the
chiral critical region, especially the first order line and spinodal lines,
using also different values for vector interactions. The effect of finite
vector interactions in the critical region is explored. We find that the
unphysical negative entropy density region appears because the $s=0$ isentropic
line, near the critical region, is displaced from its $T=0$ location. For
certain values of vector interactions this region is pushed to lower
temperatures and high chemical potentials in such way that the negative entropy
density region on the phase diagram of the model can even disapear. In the case
of finite vector interactions, the location of the critical end point has a
non-trivial behaviour in the $T-\mu_B$ plane, which differs from that in
mean-field calculations.
","[{""version"":""v1"",""created"":""Sat, 28 Mar 2020 16:07:59 GMT""},{""version"":""v2"",""created"":""Tue, 8 Sep 2020 17:41:18 GMT""}]","2020-09-09"
"2003.12830","Victor Castano","C. Aguado, A. Silva and V.M. Castano","Opioids for pain treatment of cancer: a knowledge maturity mapping","21 pages",,,,"cs.DL","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The conceptual structure of opioids, based on the bibliometric analysis of
4,935 articles of the Web of Science was constructed. The results were
processed identifying the most cited articles to extract the main connections
and frequencies of key words, authors, journals, countries, institutions, and
their tendencies and their connection and degree of collaboration. The temporal
tendencies, the word cloud, the keyword network, the evolution of words, author
production and the scientific production by country are analyzed in terms of
the increasing frequency in which opioids are employed to treat both cancerous
and non-cancerous pain.
","[{""version"":""v1"",""created"":""Sat, 28 Mar 2020 16:10:43 GMT""}]","2020-03-31"
"2003.12831","Elena Shablovinskaya","Elena Shablovinskaya and Viktor Afanasiev","Active Galactic Nuclei in polarized light","Proceeding to the XII SCSLSA; published in Open Astronomy","Open Astronomy, 2019, Volume 28, Issue 1, pp.213-219","10.1515/astro-2019-0020",,"astro-ph.GA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Due to the compactness active galactic nuclei (AGNs) are still unresolved
with optical observations. However, structure and physical conditions of the
matter in their central parts are especially important to study the processes
of the matter accretion to supermassive black holes and eventually these
investigations are essential to understand the galaxy evolution. Polarization
contains information about the interaction of electromagnetic waves with the
environment and provides information about the physical processes in the
central regions of the AGNs that could not be found with the help of other
optical observations. In this paper, the importance of applying polarimetry
methods to the study of geometry, kinematics, and physical processes in active
galactic nuclei (AGN) in polarized light is discussed. An overview of the
mechanisms of polarization formation, their connection with different
structures and scales are provided. Also, we overview the polarimetric
investigations based on different assumptions that are done using the
observations conducted in Special Astrophysical Observatory of the Russian
Academy of Sciences.
","[{""version"":""v1"",""created"":""Sat, 28 Mar 2020 16:10:50 GMT""}]","2020-03-31"
"2003.12832","Aditya Vijaykumar","Aditya Vijaykumar, Shasvath J. Kapadia, Parameswaran Ajith","Constraints on the time variation of the gravitational constant using
  gravitational-wave observations of binary neutron stars","5 pages, 4 figures, resembles the version published in Phys. Rev.
  Lett","Phys. Rev. Lett. 126, 141104 (2021)","10.1103/PhysRevLett.126.141104",,"gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose a method to constrain the variation of the gravitational constant
$G$ with cosmic time using gravitational-wave (GW) observations of merging
binary neutron stars. The method essentially relies on the fact that the
maximum and minimum allowed masses of neutron stars at a particular cosmic
epoch has a simple dependence on the value of $G$ at that epoch. GWs carry an
imprint of the value of $G$ at the time of the merger. Thus, if the value of
$G$ at merger is significantly different from its current value, the masses of
the neutron stars inferred from the GW observations will be inconsistent with
the theoretically allowed range. This enables us to place bounds on the
variation of $G$ between the merger epoch and the present epoch. Using the
observation of the binary neutron star system GW170817, we constrain the
fractional difference in $G$ between the merger and the current epoch to be in
the range $-1 \lesssim \Delta G/G \lesssim 8$. Assuming a monotonic variation
in $G$, this corresponds to a bound on the average rate of change of $-7 \times
10^{-9}~\mathrm{yr}^{-1} \le \dot{G}/G \le 5 \times 10^{-8}~\mathrm{yr}^{-1}$
between these epochs. Future observations will put tight constraints on the
deviation of $G$ over vast cosmological epochs not probed by other
observations.
","[{""version"":""v1"",""created"":""Sat, 28 Mar 2020 16:13:27 GMT""},{""version"":""v2"",""created"":""Fri, 16 Apr 2021 07:32:27 GMT""}]","2021-04-19"
"2003.12833","Andriy Prymak V","A. Prymak","Geometric computation of Christoffel functions on planar convex domains",,"Journal of Approximation Theory 268 (2021) 105603","10.1016/j.jat.2021.105603",,"math.CA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  For arbitrary planar convex domain, we compute the behavior of Christoffel
function up to a constant factor using comparison with other simple reference
domains. The lower bound is obtained by constructing an appropriate ellipse
contained in the domain, while for the upper bound an appropriate
parallelepiped containing the domain is constructed.
  As an application we obtain a new proof of existence of optimal polynomial
meshes in planar convex domains.
","[{""version"":""v1"",""created"":""Sat, 28 Mar 2020 16:21:49 GMT""},{""version"":""v2"",""created"":""Wed, 29 Apr 2020 14:28:54 GMT""},{""version"":""v3"",""created"":""Tue, 15 Jun 2021 15:09:58 GMT""}]","2021-06-16"
